instance_id,nc_a,nv_a,sat_a,nc_b,nv_b,sat_b,nc_mean,nv_mean,nc_max,nv_max,nc_gen,nv_gen,sat_gen
0,9,10,True,5,14,False,7.0,12.0,9,14,5.0,14,True
1,3,12,False,11,14,True,7.0,13.0,11,14,11.0,10,True
2,15,14,True,13,12,True,14.0,13.0,15,14,15.0,12,True
3,5,20,False,11,10,True,8.0,15.0,11,20,5.0,18,False
4,15,16,True,11,10,True,13.0,13.0,15,16,15.0,12,True
5,9,14,True,11,16,True,10.0,15.0,11,16,9.0,12,True
6,3,18,False,5,20,False,4.0,19.0,5,20,5.0,20,True
7,7,14,True,11,18,True,9.0,16.0,11,18,11.0,18,False
8,11,18,True,7,18,False,9.0,18.0,11,18,7.0,20,True
9,13,16,True,9,16,True,11.0,16.0,13,16,13.0,16,True
10,3,18,False,11,18,True,7.0,18.0,11,18,7.0,14,False
11,7,10,True,9,14,True,8.0,12.0,9,14,9.0,12,False
12,7,12,True,13,20,True,10.0,16.0,13,20,13.0,21,True
13,11,12,True,11,20,True,11.0,16.0,11,20,11.0,16,True
14,7,18,True,13,18,True,10.0,18.0,13,18,11.0,16,False
15,3,10,False,5,18,False,4.0,14.0,5,18,5.0,20,True
16,3,20,False,7,20,True,5.0,20.0,7,20,3.0,18,False
17,7,14,False,3,20,True,5.0,17.0,7,20,7.0,14,True
18,5,18,False,15,16,True,10.0,17.0,15,18,11.0,18,True
19,5,12,False,15,16,True,10.0,14.0,15,16,11.0,12,True
20,13,18,True,5,10,True,9.0,14.0,13,18,13.0,18,True
21,3,20,False,11,18,True,7.0,19.0,11,20,5.0,18,True
22,3,18,False,15,12,True,9.0,15.0,15,18,11.0,14,True
23,9,12,True,7,18,True,8.0,15.0,9,18,7.0,14,True
24,15,18,True,7,12,True,11.0,15.0,15,18,15.0,14,True
25,15,20,True,7,10,True,11.0,15.0,15,20,15.0,20,True
26,7,16,True,7,12,True,7.0,14.0,7,16,7.0,10,False
27,15,14,True,11,12,True,13.0,13.0,15,14,15.0,12,True
28,13,12,True,15,12,True,14.0,12.0,15,12,13.0,14,True
29,3,10,False,11,12,True,7.0,11.0,11,12,11.0,12,True
30,5,18,True,3,18,False,4.0,18.0,5,18,3.0,18,False
31,15,18,True,7,18,True,11.0,18.0,15,18,11.0,20,True
32,7,14,True,13,10,True,10.0,12.0,13,14,11.0,16,True
33,9,18,True,15,12,True,12.0,15.0,15,18,13.0,18,True
34,11,12,True,15,10,True,13.0,11.0,15,12,13.0,16,True
35,15,12,True,9,10,True,12.0,11.0,15,12,15.0,18,True
36,7,20,False,3,12,False,5.0,16.0,7,20,7.0,20,True
37,13,12,True,3,20,False,8.0,16.0,13,20,9.0,12,True
38,3,18,False,15,20,True,9.0,19.0,15,20,11.0,14,True
39,11,12,True,5,14,False,8.0,13.0,11,14,7.0,10,False
40,3,20,True,3,14,False,3.0,17.0,3,20,3.0,20,True
41,5,10,False,13,12,True,9.0,11.0,13,12,13.0,18,True
42,5,16,True,3,10,True,4.0,13.0,5,16,5.0,14,True
43,13,16,True,9,18,True,11.0,17.0,13,18,13.0,20,True
44,15,14,True,13,14,True,14.0,14.0,15,14,13.0,10,True
45,5,16,True,9,20,True,7.0,18.0,9,20,9.0,14,False
46,7,18,True,13,18,True,10.0,18.0,13,18,13.0,16,True
47,15,18,True,15,20,True,15.0,19.0,15,20,15.0,20,True
48,11,10,True,15,14,True,13.0,12.0,15,14,15.0,14,True
49,15,12,True,9,16,True,12.0,14.0,15,16,13.0,20,True
50,7,14,True,11,10,True,9.0,12.0,11,14,9.0,18,True
51,11,12,True,9,14,True,10.0,13.0,11,14,9.0,18,True
52,13,20,True,5,10,False,9.0,15.0,13,20,13.0,18,True
53,13,16,True,15,12,True,14.0,14.0,15,16,13.0,10,True
54,9,18,True,7,14,False,8.0,16.0,9,18,9.0,20,True
55,15,14,True,5,14,True,10.0,14.0,15,14,11.0,20,True
56,13,14,True,3,10,False,8.0,12.0,13,14,11.0,20,True
57,13,14,True,7,12,True,10.0,13.0,13,14,11.0,20,True
58,13,10,True,11,10,True,12.0,10.0,13,10,11.0,14,True
59,15,18,True,15,10,True,15.0,14.0,15,18,15.0,10,True
60,7,20,True,15,12,True,11.0,16.0,15,20,11.0,16,True
61,11,10,True,7,20,True,9.0,15.0,11,20,7.0,20,True
62,13,20,True,13,12,True,13.0,16.0,13,20,13.0,18,True
63,9,16,True,13,20,True,11.0,18.0,13,20,11.0,14,True
64,7,16,True,7,12,True,7.0,14.0,7,16,7.0,10,True
65,3,20,False,15,12,True,9.0,16.0,15,20,11.0,16,True
66,3,20,False,11,10,True,7.0,15.0,11,20,5.0,18,False
67,9,20,True,11,14,True,10.0,17.0,11,20,9.0,12,True
68,15,14,True,13,16,True,14.0,15.0,15,16,13.0,14,True
69,9,10,True,3,18,False,6.0,14.0,9,18,3.0,18,False
70,9,20,True,11,14,True,10.0,17.0,11,20,9.0,18,True
71,3,12,False,9,10,True,6.0,11.0,9,12,5.0,10,False
72,15,20,True,13,12,True,14.0,16.0,15,20,13.0,10,True
73,9,16,True,7,16,True,8.0,16.0,9,16,7.0,12,False
74,11,12,True,7,20,False,9.0,16.0,11,20,7.0,20,True
75,9,10,True,3,20,False,6.0,15.0,9,20,3.0,20,True
76,15,10,True,11,16,True,13.0,13.0,15,16,11.0,12,True
77,9,12,True,15,14,True,12.0,13.0,15,14,13.0,10,True
78,7,10,True,11,16,True,9.0,13.0,11,16,11.0,14,False
79,11,20,True,3,14,True,7.0,17.0,11,20,11.0,18,True
80,3,18,False,13,12,True,8.0,15.0,13,18,9.0,20,True
81,11,14,True,15,18,True,13.0,16.0,15,18,15.0,20,True
82,15,20,True,3,16,True,9.0,18.0,15,20,15.0,18,True
83,13,14,True,3,14,True,8.0,14.0,13,14,13.0,12,True
84,15,20,True,11,20,True,13.0,20.0,15,20,11.0,20,True
85,5,16,False,5,14,True,5.0,15.0,5,16,5.0,12,True
86,13,20,True,11,12,True,12.0,16.0,13,20,13.0,16,True
87,5,12,True,15,10,True,10.0,11.0,15,12,11.0,10,True
88,3,14,False,11,16,True,7.0,15.0,11,16,11.0,10,True
89,13,20,True,13,12,True,13.0,16.0,13,20,13.0,20,True
90,9,16,True,11,18,True,10.0,17.0,11,18,9.0,14,False
91,5,20,False,13,10,True,9.0,15.0,13,20,,21,True
92,7,14,False,3,16,False,5.0,15.0,7,16,7.0,12,True
93,11,12,True,15,14,True,13.0,13.0,15,14,15.0,12,True
94,11,16,True,15,10,True,13.0,13.0,15,16,13.0,20,True
95,9,10,True,11,20,True,10.0,15.0,11,20,11.0,16,True
96,7,12,True,13,16,True,10.0,14.0,13,16,13.0,18,True
97,9,12,True,5,14,True,7.0,13.0,9,14,7.0,16,True
98,7,20,True,13,12,True,10.0,16.0,13,20,7.0,20,True
99,11,12,True,11,14,True,11.0,13.0,11,14,11.0,12,True
